
"((-68.2645995, -16.627275), (-68.2646921, -16.6272852))",unclassified,road
"((-74.5510139, -13.3467658), (-74.5506766, -13.3466986))",unclassified,road
"((-46.35148, -23.1234097), (-46.3515014, -23.1235547))",unclassified,road
"((-78.5873844, -1.0429925), (-78.5881649, -1.0430612))",tertiary,road
"((-50.3370166, -22.5983964), (-50.3376389, -22.5983072))",unclassified,road
"((-47.7938668, -24.6013797), (-47.7936539, -24.6016241))",unclassified,road
"((-78.7061396, -1.2516887), (-78.7061933, -1.2513669))",service,road
"((-46.51383, -23.7442372), (-46.5138097, -23.7441481))",service,road
"((-67.5697054, -19.5204461), (-67.5694659, -19.5198944))",tertiary,road
"((-77.1107036, -0.5705923), (-77.1103978, -0.5701974))",unclassified,road
"((-61.7738405, -11.3351703), (-61.77376, -11.3351769))",unclassified,road
"((-46.8369709, -23.5611843), (-46.8370279, -23.5611318))",secondary,road
"((-76.9527983, -12.1919372), (-76.9520078, -12.1914749))",tertiary,road
"((-47.3766477, -22.7283071), (-47.3768449, -22.7282699))",tertiary,road
"((-70.3346162, -15.6328498), (-70.3347623, -15.6328176))",primary,road
"((-46.5789939, -23.6473144), (-46.5785591, -23.6464308))",service,road
"((-48.4110561, -27.4393807), (-48.4110662, -27.4393901))",secondary,road
"((-58.1541388, -12.134151), (-58.1540476, -12.1348974))",unclassified,road
"((-46.4104387, -23.6129752), (-46.4103833, -23.6130334))",tertiary,road
"((-66.627478, -14.9269654), (-66.6265824, -14.9262372))",service,road
"((-69.1906955, -15.6378696), (-69.1903647, -15.638518))",secondary,road
"((-48.9187468, -22.9973944), (-48.9188756, -22.9975534))",unclassified,road
"((-51.4800746, -21.8259082), (-51.4797222, -21.8250346))",tertiary,road
"((-54.6617971, -20.5073994), (-54.6620137, -20.5081153))",tertiary,road
"((-65.2273345, -20.8756826), (-65.2262171, -20.8757584))",tertiary,road
"((-77.9538298, -6.2404983), (-77.9539371, -6.2401997))",tertiary,road
"((-71.5456991, -16.308109), (-71.5457696, -16.3080955))",tertiary,road
"((-47.0148848, -23.5500931), (-47.0147198, -23.5500181))",unclassified,road
"((-76.9194627, -12.2522009), (-76.9194106, -12.2516295))",service,road
"((-66.0175549, -17.5867763), (-66.0178357, -17.5871072))",primary,road
"((-79.8871329, -2.1443443), (-79.8870675, -2.1444187))",secondary,road
"((-45.5647088, -22.7162272), (-45.5648357, -22.7163017))",tertiary,road
"((-80.6949473, -0.9851342), (-80.6948083, -0.9850763))",service,road
"((-46.4910078, -23.4207564), (-46.4911298, -23.4205595))",tertiary,road
"((-56.3687924, -15.0307647), (-56.3711377, -15.0378132))",unclassified,road
"((-51.4264843, -22.0526996), (-51.4267639, -22.0525156))",unclassified,road
"((-52.6200171, -18.7853007), (-52.6199113, -18.785201))",tertiary,road
"((-78.262647, -2.7565618), (-78.2624714, -2.7563186))",primary,road
"((-53.3374463, -23.7267758), (-53.3375684, -23.7266069))",secondary,road
"((-56.3707407, -15.1895837), (-56.3703963, -15.1894413))",unclassified,road
"((-79.7826921, -2.1982349), (-79.783031, -2.198144))",service,road
"((-52.5342889, -23.9630864), (-52.5333287, -23.9638278))",unclassified,road
"((-46.9597587, -23.0918431), (-46.9597547, -23.0917876))",service,road
"((-48.9817382, -27.0961157), (-48.9820711, -27.0959118))",tertiary,road
"((-76.8826085, -11.9680594), (-76.8827078, -11.9683638))",service,road
"((-47.7164327, -22.681298), (-47.7162316, -22.6812408))",tertiary,road
"((-54.1665745, -22.2721377), (-54.1669278, -22.2729754))",secondary,road
"((-51.3159639, -21.2099993), (-51.3164145, -21.2114571))",unclassified,road
"((-50.4613705, -21.9528774), (-50.4613665, -21.9523736))",unclassified,road
"((-46.0087091, -22.7714412), (-46.0087983, -22.7714319))",tertiary,road
"((-47.8356991, -23.0416639), (-47.8357542, -23.0416595))",tertiary,road
"((-53.0550333, -18.2033648), (-53.0473378, -18.2020884))",unclassified,road
"((-80.7527899, -4.909735), (-80.7533614, -4.9099009))",primary,road
"((-58.1779716, -15.6269541), (-58.1777764, -15.6277977))",tertiary,road
"((-61.0349241, -12.5966326), (-61.0349952, -12.5962609))",unclassified,road
