start_indices,desitnation_indices,start_loc,end_loc,cost,truth
"(398, 417)","(464, 709)","54.68333333333334,-2.525","54.13333333333333,-0.09166666666666679",260.7269287109375,186.28333333333333
"(464, 709)","(334, 303)","54.13333333333333,-0.09166666666666679","55.21666666666667,-3.475",347.46466064453125,238.55
"(334, 303)","(42, 308)","55.21666666666667,-3.475","57.65,-3.4333333333333336",326.9814758300781,259.68333333333334
"(42, 308)","(58, 185)","57.65,-3.4333333333333336","57.516666666666666,-4.458333333333333",104.62584686279297,62.016666666666666
"(58, 185)","(347, 351)","57.516666666666666,-4.458333333333333","55.108333333333334,-3.075",384.37225341796875,275.76666666666665
"(347, 351)","(365, 486)","55.108333333333334,-3.075","54.958333333333336,-1.9500000000000002",120.3386459350586,78.35
"(365, 486)","(80, 357)","54.958333333333336,-1.9500000000000002","57.333333333333336,-3.025",375.5782470703125,313.35
"(80, 357)","(185, 173)","57.333333333333336,-3.025","56.458333333333336,-4.558333333333334",259.29522705078125,219.86666666666667
"(185, 173)","(164, 404)","56.458333333333336,-4.558333333333334","56.63333333333333,-2.6333333333333333",223.2548065185547,167.25
"(164, 404)","(424, 633)","56.63333333333333,-2.6333333333333333","54.46666666666667,-0.7249999999999996",432.47796630859375,311.45
"(424, 633)","(251, 273)","54.46666666666667,-0.7249999999999996","55.90833333333333,-3.725",341.7798156738281,239.55
"(251, 273)","(303, 228)","55.90833333333333,-3.725","55.475,-4.1",88.2956771850586,91.4
"(303, 228)","(248, 83)","55.475,-4.1","55.93333333333334,-5.308333333333334",201.694091796875,181.66666666666666
"(248, 83)","(79, 210)","55.93333333333334,-5.308333333333334","57.34166666666667,-4.25",253.94244384765625,262.06666666666666
"(79, 210)","(486, 588)","57.34166666666667,-4.25","53.95,-1.0999999999999996",558.0354614257812,408.43333333333334
"(486, 588)","(241, 211)","53.95,-1.0999999999999996","55.99166666666667,-4.241666666666667",335.7835388183594,247.36666666666667
"(241, 211)","(326, 150)","55.99166666666667,-4.241666666666667","55.28333333333333,-4.75",89.59398651123047,96.1
"(326, 150)","(325, 143)","55.28333333333333,-4.75","55.291666666666664,-4.808333333333334",8.72459602355957,8.4
