
"((-46.7137586, -22.6949544), (-46.713683, -22.6950299))",service,road
"((-50.880887, -24.5436403), (-50.881272, -24.5439983))",unclassified,road
"((-50.881272, -24.5439983), (-50.8817346, -24.5445949))",unclassified,road
"((-46.4060174, -23.6476194), (-46.4059422, -23.6476747))",service,road
"((-46.4059422, -23.6476747), (-46.4058933, -23.6476894))",service,road
"((-46.4058933, -23.6476894), (-46.4058249, -23.6476999))",service,road
"((-46.4058249, -23.6476999), (-46.4057491, -23.6476937))",service,road
"((-46.4057491, -23.6476937), (-46.405566, -23.6476391))",service,road
"((-58.3955526, -18.8828567), (-58.3997773, -18.8787627))",unclassified,road
"((-50.5156571, -25.8719379), (-50.5154881, -25.871781))",unclassified,road
"((-50.5154881, -25.871781), (-50.5153835, -25.8717352))",unclassified,road
"((-50.5153835, -25.8717352), (-50.5151448, -25.8716193))",unclassified,road
"((-50.5151448, -25.8716193), (-50.5150348, -25.8715276))",unclassified,road
"((-50.5150348, -25.8715276), (-50.5149007, -25.8714721))",unclassified,road
