geometry,class,subtype
"((-50.5517046, -23.8975981), (-50.5516496, -23.8975588))",unclassified,road
"((-78.6101045, -0.9373932), (-78.6101126, -0.9377166))",tertiary,road
"((-47.0266758, -22.9537501), (-47.026594, -22.9538563))",unclassified,road
"((-46.7128472, -23.1400127), (-46.7128903, -23.1408305))",tertiary,road
"((-51.9168375, -23.3849864), (-51.9170703, -23.3852849))",primary,road
"((-66.366034, -18.1153319), (-66.3658603, -18.1153638))",unclassified,road
"((-50.6955414, -22.2536334), (-50.695527, -22.25367))",secondary,road
"((-49.8657643, -22.9898958), (-49.8657136, -22.9905394))",secondary,road
"((-51.7892579, -24.7620282), (-51.7890817, -24.7620451))",tertiary,road
"((-77.3053698, -5.9259602), (-77.3073296, -5.9283321))",tertiary,road
"((-49.9545899, -23.1512847), (-49.9544075, -23.1512898))",primary,road
"((-49.288258, -25.5091394), (-49.2880724, -25.5089059))",service,road
"((-52.4998695, -24.5071482), (-52.5012589, -24.5053836))",service,road
"((-55.4722559, -22.1602243), (-55.4700197, -22.1603019))",unclassified,road
"((-76.8373937, -11.6940195), (-76.8371398, -11.6939782))",unclassified,road
"((-46.7138216, -22.6949507), (-46.7137586, -22.6949544))",service,road
"((-50.880887, -24.5436403), (-50.881272, -24.5439983))",unclassified,road
"((-46.4060174, -23.6476194), (-46.4059422, -23.6476747))",service,road
"((-58.3955526, -18.8828567), (-58.3997773, -18.8787627))",unclassified,road
"((-50.5080047, -25.8708012), (-50.5079082, -25.8708495))",unclassified,road
"((-58.8261215, -21.9329493), (-58.8261649, -21.9386667))",unclassified,road
"((-46.7396848, -23.392586), (-46.7396191, -23.3926069))",unclassified,road
"((-49.5363789, -25.4538483), (-49.5368894, -25.4547669))",tertiary,road
"((-80.3728422, -1.148713), (-80.3726356, -1.1487318))",unclassified,road
"((-47.3703381, -22.5900868), (-47.3702735, -22.590035))",primary,road
"((-56.3139393, -12.6759722), (-56.3128871, -12.6728785))",unclassified,road
"((-72.1568225, -14.3837933), (-72.1568045, -14.3837684))",unclassified,road
"((-49.0021342, -23.1721575), (-49.0024245, -23.1726285))",unclassified,road
"((-47.0833556, -23.2223579), (-47.0832664, -23.2222332))",secondary,road
"((-67.2280372, -19.1743731), (-67.2283913, -19.1743772))",unclassified,road
"((-76.8214899, -12.3138474), (-76.8207911, -12.3134167))",service,road
"((-49.0709405, -25.4524496), (-49.0709899, -25.4524187))",secondary,road
"((-79.8661532, -2.0100926), (-79.8661427, -2.0101128))",primary,road
"((-80.0437562, -2.1909736), (-80.0439888, -2.1907771))",service,road
"((-46.9270009, -23.8339007), (-46.9270331, -23.8337952))",unclassified,road
"((-46.7123038, -23.7295863), (-46.7123118, -23.7295587))",service,road
"((-62.6279765, -12.235035), (-62.6281911, -12.2360782))",unclassified,road
"((-79.0794215, -3.0652815), (-79.079207, -3.0654154))",unclassified,road
"((-77.3402626, -5.9584828), (-77.3406877, -5.959132))",tertiary,road
"((-56.3797796, -21.0636297), (-56.3798043, -21.0638943))",unclassified,road
"((-68.0058646, -18.0353556), (-68.0051726, -18.0349832))",unclassified,road
